$ZQDM,$SC,$ZQDM1,$SC1,JZRQ,DWJZ,ZXFE,FEBH,ZFEBH,YFEBH,YZGM,YYGM,ZXSSDW
560560,1,000977,62,20260318,0.8047,83190100.00,0.00,-3000000.00,-4000000.00,70675882.00,67659517.60,100.00
560570,1,932422,62,20260318,1.0400,1520541200.00,3000000.00,2000000.00,0.00,1602060966.00,1555513647.60,100.00
560580,1,H30199,62,20260318,1.1988,276003000.00,-1000000.00,88000000.00,117000000.00,231995702.00,174108285.00,100.00
560590,1,000852,1,20260318,1.5336,16710000.00,0.00,0.00,-3000000.00,26518770.00,31082670.00,300.00
560610,1,000510,1,20260318,1.2015,4423988400.00,9000000.00,30000000.00,-183000000.00,5378241801.60,5634346813.20,300.00
560620,1,000995,62,20260318,1.0245,36367000.00,-1000000.00,-4500000.00,-12500000.00,42787749.00,46521384.00,50.00
560630,1,H30590,62,20260318,1.1011,176394000.00,1000000.00,0.00,-20000000.00,201971130.00,233708860.00,100.00
560650,1,931526,62,20260318,1.0590,6419200.00,0.00,0.00,-1500000.00,6996928.00,8631928.00,150.00
560660,1,931469,62,20260318,2.1805,79969000.00,5000000.00,4000000.00,14000000.00,167967459.00,143548544.00,100.00
560680,1,000932,1,20260318,0.8550,317225600.00,-3000000.00,-21000000.00,-39000000.00,286815308.80,301010632.00,150.00
560690,1,931235,62,20260318,2.0292,21139000.00,0.00,0.00,-2250000.00,43398367.00,46497332.00,75.00
560700,1,932039,62,20260318,1.2324,360536900.00,1500000.00,500000.00,9000000.00,454006530.90,422195816.90,50.00
560710,1,932420,62,20260318,1.0283,1569580000.00,-7000000.00,38000000.00,390000000.00,1678611680.00,1304615480.00,100.00
560750,1,000510,1,20260318,1.3277,153554800.00,0.00,0.00,-6000000.00,207759644.40,215877644.40,300.00
560770,1,H30590,62,20260318,0.9799,2094133000.00,-4500000.00,6000000.00,9000000.00,2127807527.00,2214411246.00,150.00
560780,1,931743,62,20260318,1.8827,1968496000.00,-31000000.00,3000000.00,62000000.00,3771786824.00,3873999872.00,100.00
560800,1,931582,62,20260318,0.9953,479951100.00,0.00,6000000.00,-4000000.00,477742708.80,512988166.00,200.00
560810,1,931243,62,20260318,1.2130,505116000.00,0.00,-4000000.00,-110000000.00,647595552.00,734448504.00,100.00
560820,1,930050,62,20260318,1.1931,42926000.00,0.00,0.00,-1000000.00,51081940.00,52403718.00,100.00
560850,1,931247,62,20260318,1.4932,91164000.00,0.00,-10000000.00,-18000000.00,153364624.00,165055968.00,100.00
560860,1,H11059,62,20260318,1.7423,7007233000.00,-82000000.00,-426000000.00,-633000000.00,14249507661.00,14600485263.00,100.00
560880,1,930697,62,20260318,1.5842,378232000.00,0.00,-1500000.00,-15000000.00,612127984.00,655517744.00,150.00
560900,1,931152,62,20260318,0.8767,161969100.00,0.00,-1000000.00,-4000000.00,141783117.00,148044437.20,100.00
560950,1,000905,1,20260318,1.4121,13483000.00,2000000.00,2000000.00,4000000.00,16696282.00,13921044.00,200.00
560980,1,931798,62,20260318,0.8575,598522000.00,-3000000.00,15000000.00,25500000.00,526920366.00,474462216.00,150.00
560990,1,931447,62,20260318,1.0780,21187100.00,0.00,0.00,-1000000.00,23263435.80,24450184.20,100.00
561000,1,000300,1,20260318,1.2749,52420000.00,-2500000.00,-2500000.00,-5000000.00,70517280.00,73899540.00,250.00
561010,1,932094,62,20260318,1.1257,224356000.00,0.00,-7000000.00,-23000000.00,268604316.00,293611572.00,100.00
561060,1,000824,62,20260318,1.1854,51565000.00,-500000.00,-1000000.00,-500000.00,62920305.00,60603660.00,50.00
561080,1,932365,62,20260318,1.3893,46250000.00,0.00,-1000000.00,8000000.00,67614750.00,52326000.00,100.00
561090,1,000510,1,20260318,1.2154,212974000.00,0.00,3000000.00,24000000.00,260367760.00,233760838.00,300.00
561100,1,931494,62,20260318,1.3004,472746900.00,-8000000.00,-16000000.00,-90000000.00,647589642.50,760833808.80,200.00
561120,1,930697,62,20260318,1.3467,55159900.00,0.00,0.00,-3000000.00,75513903.10,82412578.30,150.00
561130,1,931403,62,20260318,0.9726,119935200.00,0.00,-2000000.00,-4000000.00,117423597.60,121952236.80,200.00
561160,1,931719,62,20260318,0.8517,2129335000.00,-10500000.00,-27000000.00,-292500000.00,1901887470.00,2034341400.00,150.00
561170,1,931897,62,20260318,1.2409,245532700.00,-500000.00,49500000.00,58500000.00,251313921.40,212282114.50,50.00
561180,1,000903,1,20260318,1.3313,51609600.00,0.00,-2000000.00,-2000000.00,72051302.40,72212131.20,200.00
561190,1,931755,62,20260318,1.0921,242318000.00,0.00,-2000000.00,-18000000.00,277545248.00,287911708.00,100.00
561200,1,000903,1,20260318,1.4672,31470500.00,0.00,0.00,-2000000.00,46607810.50,49670222.00,200.00
561220,1,931529,62,20260318,1.4920,68553000.00,0.00,-9000000.00,-49500000.00,118345878.00,182746044.00,150.00
561230,1,930050,62,20260318,1.3076,574477800.00,-2000000.00,-2000000.00,-74000000.00,758068307.00,852099829.20,200.00
561260,1,932037,62,20260318,1.4113,35295200.00,-1000000.00,-3800000.00,5800000.00,57782705.60,39995491.20,20.00
561280,1,000852,1,20260318,1.7054,102847700.00,3000000.00,6000000.00,21000000.00,170548799.70,142742388.80,300.00
561300,1,000300,1,20260318,1.0148,550965000.00,0.00,24000000.00,-9000000.00,539612160.00,573964125.00,300.00
561310,1,931494,62,20260318,1.1678,41916600.00,0.00,2000000.00,2000000.00,47580587.20,48498669.00,200.00
561320,1,000945,62,20260318,1.0086,68369000.00,0.00,-2000000.00,-6000000.00,70509738.00,73327834.00,100.00
561330,1,931892,62,20260318,2.0957,1468696100.00,-29000000.00,-107000000.00,53000000.00,3616222549.50,3244775461.20,100.00
561350,1,000905,1,20260318,1.2745,82700000.00,6000000.00,3000000.00,-18000000.00,105204000.00,133125400.00,300.00
561360,1,H30198,62,20260318,1.5998,3944148000.00,-178000000.00,-776000000.00,1944000000.00,7792964348.00,3074227476.00,100.00
561370,1,932000,62,20260318,1.5240,22356000.00,0.00,0.00,0.00,34964784.00,34718868.00,200.00
561380,1,HZ5446,27,20260318,2.0871,2962413600.00,-46000000.00,-28000000.00,1552000000.00,6776277217.60,2909683256.80,100.00
561500,1,931526,62,20260318,0.8270,60600300.00,0.00,0.00,-4500000.00,51570855.30,55465455.60,150.00
561510,1,930641,62,20260318,1.0112,64206000.00,0.00,0.00,0.00,65040678.00,66196386.00,100.00
